ID,DEMOG_AGE,DEMOG_REGION,DEMOG_ETHNICITY,DEMOG_RELIGION,RESPONDENT_WEIGHT,DEMOG_SOCIAL_GRADE,HEALTH_VULNERABILITY,PRIVATE_NON_CONTACT,PRIVATE_CONTACT,PUBLIC_NON_CONTACT,PUBLIC_CONTACT
526,35-44,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.742761434,Intermediate managerial/ professional/ administrative,0,0,0,0.742761434,0
527,35-44,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.806950815,Intermediate managerial/ professional/ administrative,0,0,0,0.806950815,0
528,35-44,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.54586134,Intermediate managerial/ professional/ administrative,0,0,0,0.54586134,0
529,25-34,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.656980051,Higher managerial/professional/administrative,0,0.656980051,0,0.656980051,0
530,45-54,London,"Other ethnic group - Arab, Any other ethnic group",Muslim,3.119872571,Unemployed (for over 6 months) or not working due to long term sickness,3.119872571,3.119872571,0,3.119872571,0
531,25-34,London,"Mixed or multiple ethnic groups - White and Black Caribbean, White and Black African, White and Asian, Any other Mixed or multiple ethnic background",Atheist or agnostic,0.819141624,Intermediate managerial/ professional/ administrative,0,0,0,0.819141624,0
532,45-54,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.658033218,Higher managerial/professional/administrative,0,0,0,0,0
533,25-34,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.536048642,Intermediate managerial/ professional/ administrative,0,0.536048642,0,0.536048642,0
534,35-44,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.742761434,Higher managerial/professional/administrative,0,0,0,0.742761434,0
535,45-54,Wales,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.654314611,Higher managerial/professional/administrative,0.654314611,0,0,0.654314611,0
536,18-24,London,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Hindu,1.233122682,Supervisory or clerical/ junior managerial/ professional/ administrator,0,1.233122682,0,1.233122682,0
537,25-34,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.557657901,Intermediate managerial/ professional/ administrative,0,0,0,0,0
538,55-64,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.687962475,Higher managerial/professional/administrative,0,0,0,0.687962475,0.687962475
539,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.673824156,Higher managerial/professional/administrative,0,0,0,0,0
540,25-34,London,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Muslim,1.085172181,Intermediate managerial/ professional/ administrative,0,1.085172181,1.085172181,1.085172181,0
541,45-54,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.590473054,Intermediate managerial/ professional/ administrative,0,0,0,0.590473054,0
542,35-44,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.806950815,Higher managerial/professional/administrative,0,0,0,0.806950815,0
543,25-34,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.557657901,Intermediate managerial/ professional/ administrative,0,0.557657901,0,0.557657901,0
544,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.597381727,Higher managerial/professional/administrative,0.597381727,0.597381727,0,0.597381727,0
545,55-64,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Other,0.575793534,Intermediate managerial/ professional/ administrative,0.575793534,0,0,0.575793534,0
546,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.673824156,Intermediate managerial/ professional/ administrative,0,0.673824156,0.673824156,0.673824156,0
547,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.597381727,Intermediate managerial/ professional/ administrative,0.597381727,0.597381727,0.597381727,0.597381727,0
548,45-54,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.590473054,Higher managerial/professional/administrative,0,0.590473054,0.590473054,0.590473054,0.590473054
549,35-44,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.696944209,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0.696944209,0
550,35-44,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.829875963,Intermediate managerial/ professional/ administrative,0,0,0,0,0
551,25-34,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.611717201,Higher managerial/professional/administrative,0,0,0,0.611717201,0
552,35-44,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.742761434,Intermediate managerial/ professional/ administrative,0.742761434,0.742761434,0.742761434,0.742761434,0.742761434
553,25-34,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.611717201,Intermediate managerial/ professional/ administrative,0,0,0,0.611717201,0
554,25-34,Wales,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.594005868,Intermediate managerial/ professional/ administrative,0.594005868,0,0,0.594005868,0
555,55-64,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.707507212,Intermediate managerial/ professional/ administrative,0,0,0,0,0
556,25-34,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.611717201,Intermediate managerial/ professional/ administrative,0.611717201,0.611717201,0,0.611717201,0.611717201
557,25-34,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.781027578,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0.781027578,0,0.781027578,0
558,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.597381727,Intermediate managerial/ professional/ administrative,0,0.597381727,0,0.597381727,0
559,25-34,London,"Mixed or multiple ethnic groups - White and Black Caribbean, White and Black African, White and Asian, Any other Mixed or multiple ethnic background",Nothing in particular,0.819141624,Intermediate managerial/ professional/ administrative,0,0.819141624,0.819141624,0.819141624,0
560,25-34,London,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Nothing in particular,1.385524879,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,1.385524879,0
561,18-24,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.531672125,Intermediate managerial/ professional/ administrative,0,0,0,0.531672125,0
562,55-64,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.575793534,Higher managerial/professional/administrative,0,0,0,0,0
563,45-54,London,"Mixed or multiple ethnic groups - White and Black Caribbean, White and Black African, White and Asian, Any other Mixed or multiple ethnic background",Atheist or agnostic,0.902308146,Intermediate managerial/ professional/ administrative,0,0,0,0.902308146,0
564,35-44,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.54586134,Intermediate managerial/ professional/ administrative,0.54586134,0,0,0.54586134,0
565,45-54,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.614276276,Intermediate managerial/ professional/ administrative,0.614276276,0,0,0,0
566,55-64,Scotland,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Nothing in particular,0.845369824,Higher managerial/professional/administrative,0.845369824,0,0,0.845369824,0
567,25-34,London,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Nothing in particular,1.085172181,Higher managerial/professional/administrative,1.085172181,0,0,1.085172181,0
568,55-64,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.707507212,Intermediate managerial/ professional/ administrative,0,0,0,0,0
569,45-54,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.658033218,Higher managerial/professional/administrative,0,0,0,0.658033218,0
570,18-24,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.695117668,Supervisory or clerical/ junior managerial/ professional/ administrator,0.695117668,0.695117668,0,0.695117668,0
571,45-54,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.658033218,Higher managerial/professional/administrative,0,0,0,0,0
572,45-54,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.786223072,Higher managerial/professional/administrative,0,0.786223072,0,0,0
573,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.597381727,Higher managerial/professional/administrative,0,0.597381727,0,0.597381727,0
574,45-54,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.531840072,Intermediate managerial/ professional/ administrative,0,0,0,0.531840072,0
575,35-44,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.630470867,Intermediate managerial/ professional/ administrative,0,0,0,0.630470867,0
576,45-54,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.786223072,Higher managerial/professional/administrative,0,0.786223072,0,0.786223072,0
577,45-54,East Midlands,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",,1.072622251,Higher managerial/professional/administrative,1.072622251,0,0,1.072622251,0
578,25-34,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.713756211,Intermediate managerial/ professional/ administrative,0,0.713756211,0,0.713756211,0
579,45-54,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.658033218,Intermediate managerial/ professional/ administrative,0.658033218,0,0,0,0
580,35-44,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.827502206,Supervisory or clerical/ junior managerial/ professional/ administrator,0.827502206,0.827502206,0,0.827502206,0
581,35-44,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Other,0.742761434,Intermediate managerial/ professional/ administrative,0,0,0,0.742761434,0
582,35-44,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.742761434,Higher managerial/professional/administrative,0,0.742761434,0,0.742761434,0
583,55-64,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.575793534,Intermediate managerial/ professional/ administrative,0.575793534,0.575793534,0,0.575793534,0
584,55-64,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.633238093,Higher managerial/professional/administrative,0.633238093,0,0,0.633238093,0.633238093
585,65+,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.898590565,Intermediate managerial/ professional/ administrative,0,0,0,0.898590565,0
586,55-64,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,1.236522102,Skilled manual worker,0,1.236522102,0,1.236522102,0
587,55-64,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.707507212,Intermediate managerial/ professional/ administrative,0,0.707507212,0,0.707507212,0
588,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.673824156,Intermediate managerial/ professional/ administrative,0,0,0,0,0
589,25-34,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.713756211,Intermediate managerial/ professional/ administrative,0,0.713756211,0.713756211,0.713756211,0
590,25-34,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.838818227,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0.838818227,0
591,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.675381403,Higher managerial/professional/administrative,0,0.675381403,0,0.675381403,0
592,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",,0.597381727,Intermediate managerial/ professional/ administrative,0,0,0.597381727,0.597381727,0
593,18-24,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.746551576,Supervisory or clerical/ junior managerial/ professional/ administrator,0.746551576,0.746551576,0.746551576,0.746551576,0
594,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",,0.762724349,Supervisory or clerical/ junior managerial/ professional/ administrator,0.762724349,0,0,0.762724349,0.762724349
595,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.762724349,Supervisory or clerical/ junior managerial/ professional/ administrator,0.762724349,0.762724349,0.762724349,0.762724349,0.762724349
596,18-24,London,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Other,1.233122682,Supervisory or clerical/ junior managerial/ professional/ administrator,0,1.233122682,1.233122682,1.233122682,0
597,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.762724349,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0.762724349,0
598,25-34,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.838818227,Supervisory or clerical/ junior managerial/ professional/ administrator,0.838818227,0.838818227,0.838818227,0.838818227,0
599,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.597381727,Intermediate managerial/ professional/ administrative,0,0.597381727,0.597381727,0.597381727,0
600,18-24,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.531672125,Intermediate managerial/ professional/ administrative,0,0.531672125,0.531672125,0.531672125,0
601,35-44,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.742761434,Intermediate managerial/ professional/ administrative,0,0,0,0.742761434,0
602,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.762724349,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0.762724349,0
603,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.675381403,Intermediate managerial/ professional/ administrative,0,0.675381403,0.675381403,0.675381403,0.675381403
604,35-44,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.742761434,Intermediate managerial/ professional/ administrative,0,0,0.742761434,0.742761434,0
605,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Other,0.762724349,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0.762724349,0
606,18-24,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.83411063,Student,0,0,0,0.83411063,0
607,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",,1.450387999,NOT COLLECTED,0,1.450387999,0,1.450387999,0
608,35-44,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.648117105,Higher managerial/professional/administrative,0,0.648117105,0,0.648117105,0
609,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.597381727,Intermediate managerial/ professional/ administrative,0,0.597381727,0.597381727,0.597381727,0
610,35-44,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.742761434,Intermediate managerial/ professional/ administrative,0,0.742761434,0,0.742761434,0
611,45-54,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.658033218,Higher managerial/professional/administrative,0,0,0,0.658033218,0
612,25-34,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.611717201,Higher managerial/professional/administrative,0,0.611717201,0.611717201,0.611717201,0
613,55-64,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.589610953,Intermediate managerial/ professional/ administrative,0,0,0,0.589610953,0
614,35-44,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.948342082,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0.948342082,0,0.948342082,0
615,25-34,London,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Hindu,1.085172181,Higher managerial/professional/administrative,0,1.085172181,1.085172181,0,0
616,25-34,North East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.69786798,Intermediate managerial/ professional/ administrative,0.69786798,0.69786798,0,0.69786798,0
617,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.860324425,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0,0
618,35-44,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.806950815,Intermediate managerial/ professional/ administrative,0,0,0,0.806950815,0
619,55-64,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.707507212,Intermediate managerial/ professional/ administrative,0.707507212,0.707507212,0,0.707507212,0
620,55-64,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.633238093,Higher managerial/professional/administrative,0,0,0,0.633238093,0
621,35-44,Yorkshire And The Humber,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Hindu,1.177335397,Intermediate managerial/ professional/ administrative,0,0,0,0,0
622,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.675381403,Intermediate managerial/ professional/ administrative,0,0,0,0.675381403,0
623,35-44,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.948342082,Supervisory or clerical/ junior managerial/ professional/ administrator,0.948342082,0.948342082,0.948342082,0.948342082,0
624,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.691588649,Intermediate managerial/ professional/ administrative,0,0,0,0.691588649,0
625,25-34,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.838818227,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0.838818227,0
626,25-34,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.656980051,Higher managerial/professional/administrative,0,0.656980051,0,0.656980051,0.656980051
627,25-34,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,1.300222299,Semi or unskilled manual worker,0,1.300222299,0,1.300222299,0
628,18-24,North East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.621105293,Intermediate managerial/ professional/ administrative,0,0,0,0.621105293,0
629,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.691588649,Intermediate managerial/ professional/ administrative,0,0,0,0.691588649,0
630,25-34,London,"Other ethnic group - Arab, Any other ethnic group",Other,1.59896657,Intermediate managerial/ professional/ administrative,0,1.59896657,1.59896657,1.59896657,0
631,35-44,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.742761434,Intermediate managerial/ professional/ administrative,0,0,0,0.742761434,0
632,45-54,London,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",,1.195348485,Higher managerial/professional/administrative,0,1.195348485,1.195348485,1.195348485,0
633,35-44,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.630470867,Higher managerial/professional/administrative,0.630470867,0.630470867,0,0,0
634,25-34,London,"Other ethnic group - Arab, Any other ethnic group",Muslim,1.59896657,Higher managerial/professional/administrative,0,0,0,1.59896657,0
635,18-24,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.67882772,Student,0,0.67882772,0,0.67882772,0
636,25-34,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.656980051,Intermediate managerial/ professional/ administrative,0,0,0,0.656980051,0
637,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.597381727,Intermediate managerial/ professional/ administrative,0,0.597381727,0,0.597381727,0
638,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.597381727,Intermediate managerial/ professional/ administrative,0,0,0,0,0
639,45-54,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.786223072,Intermediate managerial/ professional/ administrative,0,0,0,0.786223072,0
640,45-54,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.658033218,Higher managerial/professional/administrative,0.658033218,0.658033218,0,0.658033218,0
641,18-24,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.67882772,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0.67882772,0,0.67882772,0
642,25-34,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.734033738,Higher managerial/professional/administrative,0,0.734033738,0,0.734033738,0
643,35-44,London,"Other ethnic group - Arab, Any other ethnic group",Atheist or agnostic,1.807742414,Higher managerial/professional/administrative,0,0,0,1.807742414,0
644,35-44,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.54586134,Higher managerial/professional/administrative,0,0.54586134,0.54586134,0.54586134,0
645,45-54,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.631469245,Higher managerial/professional/administrative,0,0,0,0.631469245,0
646,45-54,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",,0.786223072,Intermediate managerial/ professional/ administrative,0.786223072,0,0,0.786223072,0
647,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.673824156,Intermediate managerial/ professional/ administrative,0.673824156,0.673824156,0,0.673824156,0
648,45-54,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.658033218,Higher managerial/professional/administrative,0,0,0,0.658033218,0
649,35-44,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.648117105,Intermediate managerial/ professional/ administrative,0.648117105,0.648117105,0,0.648117105,0
650,25-34,East of England,"Black, Black British, Caribbean, or African - African, Caribbean, Any other Black, Black British, or Caribbean background",Buddhist,0.986840355,Higher managerial/professional/administrative,0.986840355,0.986840355,0,0.986840355,0
651,18-24,East of England,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Muslim,1.597011795,Semi or unskilled manual worker,0,0,0,1.597011795,0
652,35-44,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.606040104,Higher managerial/professional/administrative,0,0,0,0.606040104,0
653,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.691588649,Intermediate managerial/ professional/ administrative,0,0.691588649,0,0.691588649,0
